filename,width,height,filesize,brightness,sharpness,blurry_flag
GVLiD\Black rot\black rot177.jpg,1080,1080,281904,147.41106257030185,343.57159423828125,1
GVLiD\Black rot\black rot178.jpg,1080,1080,220740,134.57111113254467,124.54505920410156,1
GVLiD\Black rot\black rot179.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot180.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot181.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot182.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot183.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot184.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot185.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot186.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot187.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot188.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot189.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot190.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot191.jpg,1080,1080,258101,147.6805414789095,173.9358673095703,1
GVLiD\Black rot\black rot192.jpg,1080,1080,281904,147.41106257030185,343.57159423828125,1
GVLiD\Black rot\black rot193.jpg,1080,1080,252815,124.66295543638547,197.6945343017578,1
GVLiD\Black rot\black rot194.jpg,1080,1080,252815,124.66295543638547,197.6945343017578,1
GVLiD\Black rot\black rot195.jpg,1080,1080,218734,130.39431481395752,173.45864868164062,1
GVLiD\Black rot\black rot196.jpg,1080,1080,218734,130.39431481395752,173.45864868164062,1
GVLiD\Black rot\black rot197.jpg,1080,1080,218734,130.39431481395752,173.45864868164062,1
GVLiD\Black rot\black rot198.jpg,1080,1080,218734,130.39431481395752,173.45864868164062,1
GVLiD\Black rot\black rot199.jpg,1080,1080,293226,118.81367804869684,313.2637939453125,1
GVLiD\Black rot\black rot200.jpg,1080,1080,293226,118.81367804869684,313.2637939453125,1
GVLiD\Black rot\black rot201.jpg,1080,1080,293226,118.81367804869684,313.2637939453125,1
GVLiD\Black rot\black rot202.jpg,1080,1080,293226,118.81367804869684,313.2637939453125,1
GVLiD\Black rot\black rot203.jpg,1080,1080,318997,108.69795176611797,407.1983642578125,1
GVLiD\Black rot\black rot204.jpg,1080,1080,318997,108.69795176611797,407.1983642578125,1
GVLiD\Black rot\black rot205.jpg,1080,1080,318997,108.69795176611797,407.1983642578125,1
GVLiD\Black rot\black rot206.jpg,1080,1080,318997,108.69795176611797,407.1983642578125,1
GVLiD\Black rot\black rot207.jpg,1080,1080,258101,147.6805414789095,173.9358673095703,1
GVLiD\Black rot\black rot208.jpg,1080,1080,218734,130.39431481395752,173.45864868164062,1
GVLiD\Black rot\black rot209.jpg,1080,1080,259289,152.59620964934845,225.13560485839844,1
GVLiD\Black rot\black rot210.jpg,1080,1080,259289,152.59620964934845,225.13560485839844,1
GVLiD\Black rot\black rot211.jpg,1080,1080,259289,152.59620964934845,225.13560485839844,1
GVLiD\Black rot\black rot212.jpg,1080,1080,259289,152.59620964934845,225.13560485839844,1
GVLiD\Black rot\black rot213.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot214.jpg,1080,1080,293226,118.81367804869684,313.2637939453125,1
GVLiD\Black rot\black rot215.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot216.jpg,1080,1080,318997,108.69795176611797,407.1983642578125,1
GVLiD\Black rot\black rot217.jpg,1080,1080,290947,151.62340156635813,315.2520751953125,1
GVLiD\Black rot\black rot218.jpg,1080,1080,290947,151.62340156635813,315.2520751953125,1
GVLiD\Black rot\black rot219.jpg,1080,1080,290947,151.62340156635813,315.2520751953125,1
GVLiD\Black rot\black rot220.jpg,1080,1080,290947,151.62340156635813,315.2520751953125,1
GVLiD\Black rot\black rot221.jpg,1080,1080,248847,106.38243016460909,233.9556121826172,1
GVLiD\Black rot\black rot222.jpg,1080,1080,248847,106.38243016460909,233.9556121826172,1
GVLiD\Black rot\black rot223.jpg,1080,1080,248847,106.38243016460909,233.9556121826172,1
GVLiD\Black rot\black rot224.jpg,1080,1080,248847,106.38243016460909,233.9556121826172,1
GVLiD\Black rot\black rot225.jpg,1080,1080,295846,114.35463402606312,235.17333984375,1
GVLiD\Black rot\black rot226.jpg,1080,1080,295846,114.35463402606312,235.17333984375,1
GVLiD\Black rot\black rot227.jpg,1080,1080,295846,114.35463402606312,235.17333984375,1
GVLiD\Black rot\black rot228.jpg,1080,1080,295846,114.35463402606312,235.17333984375,1
GVLiD\Black rot\black rot229.jpg,1080,1080,281475,159.33767500342938,248.65399169921875,1
GVLiD\Black rot\black rot230.jpg,1080,1080,259289,152.59620964934845,225.13560485839844,1
